date,port,current_state,predicted_state,p_s3,hawkes_lambda,hawkes_alert,confidence,tier0_action,tier1_action,tier2_action,tier3_action,tier0_cost
2025-12-03,Antwerp,S3,S4,0.2572,0.1753,0,0.7492,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-03,Hamburg,S3,S3,0.5551,0.2681,1,0.5627,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-04,Shanghai,S0,S0,0.0882,0.1183,0,0.5443,Strong,Escrow,Stale,Stale,123.1027
2025-12-04,Rotterdam,S3,S3,0.7068,0.262,1,0.7869,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-04,Nhava Sheva,S3,S3,0.74,0.2747,1,0.8187,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-04,Singapore,S0,S0,0.0687,0.1116,0,0.5624,Strong,Escrow,Stale,Stale,123.1027
2025-12-04,Busan,S0,S0,0.1088,0.1567,0,0.5763,Strong,Escrow,Stale,Stale,123.1027
2025-12-04,Antwerp,S4,S0,0.1088,0.14,0,0.5416,Strong,Escrow,Stale,Stale,282.8792
2025-12-04,Hamburg,S4,S0,0.3246,0.2497,1,0.3687,Strong,Escrow,Stale,Stale,282.8792
2025-12-05,Antwerp,S0,S0,0.0974,0.1502,0,0.583,Strong,Escrow,Stale,Stale,123.1027
2025-12-05,Busan,S2,S0,0.1711,0.169,0,0.4871,Strong,Escrow,Stale,Stale,421.3218
2025-12-05,Hamburg,S3,S3,0.5965,0.2516,1,0.6421,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-05,Nhava Sheva,S3,S4,0.3265,0.2756,1,0.7732,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-05,Rotterdam,S3,S3,0.6896,0.2728,1,0.749,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-05,Shanghai,S0,S0,0.1431,0.179,0,0.555,Strong,Escrow,Stale,Stale,123.1027
2025-12-05,Singapore,S1,S0,0.0746,0.1287,0,0.5842,Strong,Escrow,Stale,Stale,232.5081
2025-12-06,Rotterdam,S3,S3,0.7229,0.282,1,0.7854,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-06,Singapore,S0,S0,0.0792,0.1203,0,0.564,Strong,Escrow,Stale,Stale,123.1027
2025-12-06,Nhava Sheva,S4,S3,0.4448,0.2805,1,0.3899,Strong,Escrow,Stale,Stale,282.8792
2025-12-06,Shanghai,S1,S0,0.1333,0.1512,0,0.5177,Strong,Escrow,Stale,Stale,232.5081
2025-12-06,Busan,S0,S0,0.1173,0.1685,0,0.5797,Strong,Escrow,Stale,Stale,123.1027
2025-12-06,Antwerp,S1,S0,0.1647,0.1644,0,0.5256,Strong,Escrow,Stale,Stale,232.5081
2025-12-06,Hamburg,S4,S0,0.3128,0.2397,1,0.3677,Strong,Escrow,Stale,Stale,282.8792
2025-12-07,Antwerp,S0,S0,0.0666,0.1334,0,0.6092,Strong,Escrow,Stale,Stale,123.1027
2025-12-07,Busan,S0,S0,0.1043,0.1478,0,0.5754,Strong,Escrow,Stale,Stale,123.1027
2025-12-07,Hamburg,S0,S0,0.1909,0.2324,0,0.5194,Strong,Escrow,Stale,Stale,123.1027
2025-12-07,Nhava Sheva,S0,S0,0.3301,0.2632,1,0.4005,Strong,Escrow,Stale,Stale,123.1027
2025-12-07,Rotterdam,S3,S3,0.7096,0.2539,1,0.8007,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-07,Shanghai,S0,S0,0.0878,0.1235,0,0.5651,Strong,Escrow,Stale,Stale,123.1027
2025-12-07,Singapore,S2,S0,0.052,0.1034,0,0.5811,Strong,Escrow,Stale,Stale,421.3218
2025-12-08,Singapore,S0,S0,0.0686,0.0931,0,0.536,Strong,Escrow,Stale,Stale,123.1027
2025-12-08,Shanghai,S0,S0,0.0614,0.1067,0,0.5848,Strong,Escrow,Stale,Stale,123.1027
2025-12-08,Rotterdam,S3,S3,0.601,0.2369,1,0.6663,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-08,Nhava Sheva,S0,S0,0.3526,0.2527,1,0.3748,Strong,Escrow,Stale,Stale,123.1027
2025-12-08,Hamburg,S0,S0,0.1944,0.2281,0,0.5234,Strong,Escrow,Stale,Stale,123.1027
2025-12-08,Busan,S0,S0,0.0853,0.1353,0,0.5852,Strong,Escrow,Stale,Stale,123.1027
2025-12-08,Antwerp,S0,S0,0.0456,0.1145,0,0.6358,Strong,Escrow,Stale,Stale,123.1027
2025-12-09,Antwerp,S0,S0,0.0383,0.1031,0,0.6605,Strong,Escrow,Stale,Stale,123.1027
2025-12-09,Busan,S0,S0,0.0615,0.1277,0,0.6155,Strong,Escrow,Stale,Stale,123.1027
2025-12-09,Hamburg,S1,S0,0.2472,0.2254,0,0.4531,Strong,Escrow,Stale,Stale,232.5081
2025-12-09,Nhava Sheva,S3,S3,0.6538,0.2463,1,0.7304,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-09,Rotterdam,S3,S3,0.672,0.2266,1,0.7805,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-09,Shanghai,S0,S0,0.0444,0.0965,0,0.6062,Strong,Escrow,Stale,Stale,123.1027
2025-12-09,Singapore,S0,S0,0.0483,0.0869,0,0.5796,Strong,Escrow,Stale,Stale,123.1027
