date,port,current_state,predicted_state,p_s3,hawkes_lambda,hawkes_alert,confidence,tier0_action,tier1_action,tier2_action,tier3_action,tier0_cost
2025-12-21,Nhava Sheva,S3,S3,0.748,0.349,1,0.7392,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-21,Rotterdam,S2,S3,0.7494,0.3375,1,0.7553,Strong,Escrow,Stale,Stale,421.3218
2025-12-22,Rotterdam,S3,S4,0.3896,0.3186,1,0.7356,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-22,Nhava Sheva,S4,S3,0.726,0.3207,1,0.7425,Strong,Escrow,Stale,Stale,282.8792
2025-12-22,Hamburg,S2,S3,0.5058,0.2933,1,0.4614,Strong,Escrow,Stale,Stale,421.3218
2025-12-23,Shanghai,S0,S3,0.4116,0.2658,1,0.3604,Strong,Escrow,Stale,Stale,123.1027
2025-12-23,Rotterdam,S4,S3,0.6822,0.2762,1,0.7344,Strong,Escrow,Stale,Stale,282.8792
2025-12-23,Nhava Sheva,S3,S3,0.6213,0.3166,1,0.5979,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-23,Hamburg,S0,S0,0.3965,0.3109,1,0.328,Strong,Escrow,Stale,Stale,123.1027
2025-12-24,Hamburg,S3,S3,0.5739,0.2887,1,0.5643,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-24,Nhava Sheva,S4,S3,0.6452,0.301,1,0.6512,Strong,Escrow,Stale,Stale,282.8792
2025-12-24,Rotterdam,S3,S3,0.7601,0.2814,1,0.8392,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-24,Shanghai,S0,S0,0.3473,0.2685,1,0.3817,Strong,Escrow,Stale,Stale,123.1027
2025-12-25,Shanghai,S2,S3,0.3923,0.2965,1,0.2954,Strong,Escrow,Stale,Stale,421.3218
2025-12-25,Rotterdam,S3,S3,0.5334,0.2872,1,0.5083,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-25,Nhava Sheva,S3,S3,0.6798,0.325,1,0.6712,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-25,Busan,S3,S4,0.322,0.2198,1,0.2946,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-25,Antwerp,S2,S0,0.3127,0.2374,1,0.3939,Strong,Escrow,Stale,Stale,421.3218
2025-12-26,Antwerp,S2,S0,0.3877,0.2813,1,0.339,Strong,Escrow,Stale,Stale,421.3218
2025-12-26,Hamburg,S0,S0,0.3435,0.3265,1,0.4125,Strong,Escrow,Stale,Stale,123.1027
2025-12-26,Nhava Sheva,S4,S3,0.6044,0.3428,1,0.5417,Strong,Escrow,Stale,Stale,282.8792
2025-12-26,Rotterdam,S3,S3,0.6569,0.33,1,0.6324,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-26,Shanghai,S0,S3,0.4475,0.3045,1,0.3643,Strong,Escrow,Stale,Stale,123.1027
2025-12-27,Rotterdam,S3,S3,0.6664,0.2831,1,0.7033,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-27,Nhava Sheva,S1,S3,0.5764,0.301,1,0.5528,Strong,Escrow,Stale,Stale,232.5081
2025-12-28,Hamburg,S1,S0,0.3418,0.26,1,0.3437,Strong,Escrow,Stale,Stale,232.5081
2025-12-28,Nhava Sheva,S0,S0,0.3738,0.2756,1,0.3532,Strong,Escrow,Stale,Stale,123.1027
2025-12-28,Rotterdam,S3,S3,0.5332,0.2546,1,0.5478,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-29,Rotterdam,S3,S3,0.5261,0.2374,1,0.5589,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-29,Nhava Sheva,S1,S3,0.3985,0.2602,1,0.3486,Strong,Escrow,Stale,Stale,232.5081
2025-12-29,Hamburg,S3,S3,0.3786,0.2448,1,0.3391,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-30,Hamburg,S3,S3,0.5109,0.2563,1,0.5139,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-30,Nhava Sheva,S2,S3,0.5429,0.294,1,0.5136,Strong,Escrow,Stale,Stale,421.3218
2025-12-30,Rotterdam,S4,S3,0.6453,0.2922,1,0.6619,Strong,Escrow,Stale,Stale,282.8792
2025-12-31,Rotterdam,S2,S3,0.6129,0.2602,1,0.6549,Strong,Escrow,Stale,Stale,421.3218
2025-12-31,Nhava Sheva,S2,S3,0.5223,0.2713,1,0.5119,Strong,Escrow,Stale,Stale,421.3218
2025-12-31,Hamburg,S3,S3,0.6401,0.2426,1,0.7154,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-01,Rotterdam,S3,S4,0.3804,0.3104,1,0.7386,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-01,Nhava Sheva,S2,S3,0.5989,0.3199,1,0.5618,Strong,Escrow,Stale,Stale,421.3218
2026-01-01,Hamburg,S3,S4,0.4772,0.3099,1,0.5998,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-02,Nhava Sheva,S1,S3,0.4426,0.3161,1,0.3431,Strong,Escrow,Stale,Stale,232.5081
2026-01-02,Rotterdam,S3,S3,0.8068,0.2712,1,0.9184,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-03,Rotterdam,S3,S3,0.7198,0.2474,1,0.8233,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-03,Nhava Sheva,S1,S3,0.5344,0.2848,1,0.5127,Strong,Escrow,Stale,Stale,232.5081
2026-01-03,Hamburg,S3,S4,0.3546,0.2817,1,0.7405,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-04,Antwerp,S3,S4,0.3291,0.1702,1,0.6388,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-04,Hamburg,S3,S3,0.6457,0.258,1,0.7045,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-04,Nhava Sheva,S0,S0,0.3523,0.2861,1,0.387,Strong,Escrow,Stale,Stale,123.1027
2026-01-04,Rotterdam,S3,S3,0.5977,0.2665,1,0.6255,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Rotterdam,S3,S3,0.6293,0.2723,1,0.6635,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Antwerp,S3,S4,0.3882,0.1547,1,0.5349,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Hamburg,S3,S3,0.5951,0.2797,1,0.6056,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Busan,S3,S4,0.3151,0.1728,1,0.6633,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Nhava Sheva,S3,S3,0.6782,0.2922,1,0.709,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-06,Rotterdam,S3,S4,0.4672,0.321,1,0.6145,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-06,Antwerp,S3,S4,0.3752,0.2312,1,0.648,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-06,Hamburg,S4,S0,0.3534,0.3093,1,0.4023,Strong,Escrow,Stale,Stale,282.8792
2026-01-06,Nhava Sheva,S4,S3,0.4615,0.3229,1,0.3619,Strong,Escrow,Stale,Stale,282.8792
2026-01-07,Hamburg,S3,S3,0.6316,0.2747,1,0.6639,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-07,Nhava Sheva,S1,S0,0.3352,0.2889,1,0.3964,Strong,Escrow,Stale,Stale,232.5081
2026-01-07,Rotterdam,S4,S3,0.6673,0.2776,1,0.7113,Strong,Escrow,Stale,Stale,282.8792
2026-01-08,Rotterdam,S3,S3,0.676,0.2848,1,0.7149,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-08,Nhava Sheva,S1,S0,0.3687,0.2886,1,0.3617,Strong,Escrow,Stale,Stale,232.5081
2026-01-09,Hamburg,S3,S3,0.6377,0.2869,1,0.6577,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-09,Nhava Sheva,S1,S3,0.4548,0.2971,1,0.3838,Strong,Escrow,Stale,Stale,232.5081
2026-01-09,Rotterdam,S4,S3,0.6093,0.2557,1,0.6553,Strong,Escrow,Stale,Stale,282.8792
2026-01-10,Rotterdam,S3,S3,0.6555,0.2716,1,0.7019,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-10,Nhava Sheva,S3,S3,0.6068,0.2936,1,0.6054,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-10,Busan,S3,S4,0.3687,0.1739,1,0.5874,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-10,Antwerp,S2,S3,0.3313,0.1879,1,0.3412,Strong,Escrow,Stale,Stale,421.3218
2026-01-11,Shanghai,S1,S0,0.3522,0.3177,1,0.4277,Strong,Escrow,Stale,Stale,232.5081
2026-01-11,Rotterdam,S4,S3,0.689,0.3205,1,0.6898,Strong,Escrow,Stale,Stale,282.8792
2026-01-11,Nhava Sheva,S4,S3,0.5121,0.3528,1,0.3976,Strong,Escrow,Stale,Stale,282.8792
2026-01-11,Antwerp,S1,S0,0.3342,0.2981,1,0.4348,Strong,Escrow,Stale,Stale,232.5081
2026-01-11,Hamburg,S3,S4,0.4376,0.3439,1,0.6981,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-12,Antwerp,S3,S4,0.393,0.2541,1,0.6517,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-12,Hamburg,S3,S3,0.6158,0.2957,1,0.6156,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-12,Nhava Sheva,S3,S3,0.6128,0.3273,1,0.5726,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-12,Rotterdam,S1,S3,0.62,0.3109,1,0.603,Strong,Escrow,Stale,Stale,232.5081
2026-01-12,Shanghai,S2,S0,0.3369,0.2353,1,0.3005,Strong,Escrow,Stale,Stale,421.3218
2026-01-13,Rotterdam,S3,S3,0.5712,0.3302,1,0.5096,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-13,Shanghai,S2,S3,0.3734,0.2717,1,0.2987,Strong,Escrow,Stale,Stale,421.3218
2026-01-13,Nhava Sheva,S3,S3,0.6501,0.3331,1,0.6188,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-13,Hamburg,S3,S4,0.4673,0.3157,1,0.621,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-14,Hamburg,S4,S0,0.3622,0.3245,1,0.3986,Strong,Escrow,Stale,Stale,282.8792
2026-01-14,Nhava Sheva,S3,S3,0.7353,0.3241,1,0.7515,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-14,Rotterdam,S3,S4,0.4966,0.2832,1,0.5334,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-14,Shanghai,S1,S3,0.4187,0.2876,1,0.3439,Strong,Escrow,Stale,Stale,232.5081
2026-01-15,Rotterdam,S3,S3,0.637,0.2547,1,0.6962,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-15,Nhava Sheva,S3,S3,0.6623,0.2896,1,0.6894,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-15,Hamburg,S1,S0,0.3567,0.2839,1,0.3548,Strong,Escrow,Stale,Stale,232.5081
2026-01-16,Hamburg,S3,S4,0.4681,0.2593,1,0.4737,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-16,Nhava Sheva,S3,S3,0.6304,0.2687,1,0.6694,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-16,Rotterdam,S3,S3,0.6438,0.2374,1,0.727,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-17,Rotterdam,S3,S3,0.6913,0.3024,1,0.7153,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-17,Nhava Sheva,S4,S3,0.5012,0.313,1,0.4307,Strong,Escrow,Stale,Stale,282.8792
2026-01-18,Hamburg,S2,S3,0.4191,0.2592,1,0.3793,Strong,Escrow,Stale,Stale,421.3218
