date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric,era
2019-01-04,35,4,8,2,53,0.0,0.0,629325,43078,26263,0,552705,551993,3008,10820,2197,207555,Singapore,102,1251371,775573,0.33980582524271846,475798,1.6134772439509317,336660.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,pre_covid
2019-01-05,13,0,4,1,41,0.0,0.0,264298,0,731,358,108682,125847,0,2654,1772,125347,Antwerp,59,374069,255620,0.21666666666666667,118449,1.4633735100011345,657785.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,pre_covid
2019-01-05,36,0,11,0,5,0.0,0.0,103391,0,8270,0,5545,163543,0,3829,0,2042,Busan,52,117206,169414,0.6792452830188679,-52208,0.6918277602337455,96836.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,pre_covid
2019-01-05,10,1,3,0,4,0.0,0.0,13930,71916,0,0,27031,211646,0,2757,0,2799,Hamburg,18,112877,217202,0.5263157894736842,-104325,0.5196843505844763,870598.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,pre_covid
2019-01-05,5,2,2,0,5,0.0,0.0,68248,82080,0,0,21300,142196,2383,0,0,543,Nhava Sheva,14,171628,145122,0.3333333333333333,26506,1.1826381758921742,565448.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,pre_covid
2019-01-05,18,4,7,4,59,0.0,0.0,135472,258645,4618,4057,984410,179744,0,1092,3571,158629,Rotterdam,92,1387202,343036,0.1935483870967742,1044166,4.04388447893376,3017138.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-05,44,40,17,5,38,0.0,0.0,471433,438383,18510,828,127004,480063,230517,16180,4587,307009,Shanghai,144,1056158,1038356,0.30344827586206896,17802,1.0171434294756043,1320552.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,pre_covid
2019-01-05,38,1,8,5,75,0.0,0.0,640055,0,5752,252,591847,506981,0,7738,10567,375797,Singapore,127,1237906,901083,0.296875,336823,1.3737964496095814,673483.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1,pre_covid
2019-01-06,16,2,5,1,33,0.0,0.0,200852,44525,2117,0,80116,304001,7382,4353,4426,43289,Antwerp,57,327610,363451,0.27586206896551724,-35841,0.9013845019424849,621944.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,pre_covid
2019-01-06,47,1,4,2,7,0.0,0.0,121478,5293,7304,388,21232,246333,3669,917,348,3170,Busan,61,155695,254437,0.7580645161290323,-98742,0.6119172450655955,-1906.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,pre_covid
2019-01-06,13,0,5,0,3,0.0,0.0,212903,0,0,0,4816,120331,0,5872,0,3449,Hamburg,21,217719,129652,0.5909090909090909,88067,1.6792438277556245,958665.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,pre_covid
